provider,model_id,prompt_base,condition_id,sentence_id,sentence_type,expected_schema_primary,expected_literal_or_metaphorical,repetition_index,prompt_id_v1,schema_present_v1,literal_or_metaphorical_v1,main_image_schema_v1,schema_present_correct_v1,primary_schema_correct_v1,lm_correct_v1,control_correct_v1,control_false_positive_schema_v1,prompt_id_v2,schema_present_v2,literal_or_metaphorical_v2,main_image_schema_v2,schema_present_correct_v2,primary_schema_correct_v2,lm_correct_v2,control_correct_v2,control_false_positive_schema_v2,control_change_type
openai,openai_gpt_5_4_mini,structured_roles,c_temp_03_v1,s0125,control_weak_schema,NONE,control,0,p_structured_roles_v1,no,control,NONE,True,True,True,True,False,p_structured_roles_v2_abstention,yes,metaphorical,SOURCE_PATH_GOAL,False,False,False,False,True,v2_introduced_control_false_positive
openai,openai_gpt_5_4_mini,structured_roles,c_temp_03_v1,s0125,control_weak_schema,NONE,control,1,p_structured_roles_v1,no,control,NONE,True,True,True,True,False,p_structured_roles_v2_abstention,yes,metaphorical,SOURCE_PATH_GOAL,False,False,False,False,True,v2_introduced_control_false_positive
anthropic,claude_sonnet_4_6,structured_roles,c_temp_0_v1,s0025,control_weak_schema,NONE,control,0,p_structured_roles_v1,no,control,NONE,True,True,True,True,False,p_structured_roles_v2_abstention,yes,metaphorical,CONTAINER,False,False,False,False,True,v2_introduced_control_false_positive
anthropic,claude_sonnet_4_6,structured_roles,c_temp_0_v1,s0032,control_weak_schema,NONE,control,0,p_structured_roles_v1,no,control,NONE,True,True,True,True,False,p_structured_roles_v2_abstention,yes,literal,FORCE,False,False,False,False,True,v2_introduced_control_false_positive
anthropic,claude_sonnet_4_6,structured_roles,c_temp_0_v1,s0033,control_weak_schema,NONE,control,0,p_structured_roles_v1,no,control,NONE,True,True,True,True,False,p_structured_roles_v2_abstention,uncertain,uncertain,CONTAINER,False,False,False,False,True,v2_introduced_control_false_positive
anthropic,claude_sonnet_4_6,structured_roles,c_temp_0_v1,s0066,control_weak_schema,NONE,control,0,p_structured_roles_v1,no,control,NONE,True,True,True,True,False,p_structured_roles_v2_abstention,yes,literal,FORCE,False,False,False,False,True,v2_introduced_control_false_positive
anthropic,claude_sonnet_4_6,structured_roles,c_temp_0_v1,s0164,control_weak_schema,NONE,control,0,p_structured_roles_v1,no,control,NONE,True,True,True,True,False,p_structured_roles_v2_abstention,yes,literal,FORCE,False,False,False,False,True,v2_introduced_control_false_positive
anthropic,claude_sonnet_4_6,structured_roles,c_temp_0_v1,s0165,control_weak_schema,NONE,control,0,p_structured_roles_v1,no,control,NONE,True,True,True,True,False,p_structured_roles_v2_abstention,yes,literal,CONTAINER,False,False,False,False,True,v2_introduced_control_false_positive
anthropic,claude_sonnet_4_6,structured_roles,c_temp_03_v1,s0030,control_weak_schema,NONE,control,1,p_structured_roles_v1,no,control,NONE,True,True,True,True,False,p_structured_roles_v2_abstention,uncertain,uncertain,SOURCE_PATH_GOAL,False,False,False,False,True,v2_introduced_control_false_positive
anthropic,claude_sonnet_4_6,structured_roles,c_temp_03_v1,s0032,control_weak_schema,NONE,control,0,p_structured_roles_v1,no,control,NONE,True,True,True,True,False,p_structured_roles_v2_abstention,yes,literal,FORCE,False,False,False,False,True,v2_introduced_control_false_positive
anthropic,claude_sonnet_4_6,structured_roles,c_temp_03_v1,s0033,control_weak_schema,NONE,control,0,p_structured_roles_v1,no,control,NONE,True,True,True,True,False,p_structured_roles_v2_abstention,uncertain,uncertain,CONTAINER,False,False,False,False,True,v2_introduced_control_false_positive
anthropic,claude_sonnet_4_6,structured_roles,c_temp_03_v1,s0033,control_weak_schema,NONE,control,1,p_structured_roles_v1,no,control,NONE,True,True,True,True,False,p_structured_roles_v2_abstention,uncertain,uncertain,CONTAINER,False,False,False,False,True,v2_introduced_control_false_positive
anthropic,claude_sonnet_4_6,structured_roles,c_temp_03_v1,s0066,control_weak_schema,NONE,control,0,p_structured_roles_v1,no,control,NONE,True,True,True,True,False,p_structured_roles_v2_abstention,yes,literal,FORCE,False,False,False,False,True,v2_introduced_control_false_positive
anthropic,claude_sonnet_4_6,structured_roles,c_temp_03_v1,s0066,control_weak_schema,NONE,control,1,p_structured_roles_v1,no,control,NONE,True,True,True,True,False,p_structured_roles_v2_abstention,yes,literal,FORCE,False,False,False,False,True,v2_introduced_control_false_positive
anthropic,claude_sonnet_4_6,structured_roles,c_temp_03_v1,s0130,control_weak_schema,NONE,control,0,p_structured_roles_v1,no,control,NONE,True,True,True,True,False,p_structured_roles_v2_abstention,uncertain,uncertain,CONTAINER,False,False,False,False,True,v2_introduced_control_false_positive
anthropic,claude_sonnet_4_6,structured_roles,c_temp_03_v1,s0130,control_weak_schema,NONE,control,1,p_structured_roles_v1,no,control,NONE,True,True,True,True,False,p_structured_roles_v2_abstention,uncertain,uncertain,CONTAINER,False,False,False,False,True,v2_introduced_control_false_positive
anthropic,claude_sonnet_4_6,structured_roles,c_temp_03_v1,s0164,control_weak_schema,NONE,control,0,p_structured_roles_v1,no,control,NONE,True,True,True,True,False,p_structured_roles_v2_abstention,yes,literal,FORCE,False,False,False,False,True,v2_introduced_control_false_positive
anthropic,claude_sonnet_4_6,structured_roles,c_temp_03_v1,s0164,control_weak_schema,NONE,control,1,p_structured_roles_v1,no,control,NONE,True,True,True,True,False,p_structured_roles_v2_abstention,yes,literal,FORCE,False,False,False,False,True,v2_introduced_control_false_positive
