run_key,provider,model_id,prompt_id,condition_id,sentence_id,sentence_text,expected_schema_primary,main_image_schema,literal_or_metaphorical,interpretation,schema_explanation
openai_gpt_5_4_mini|p_direct_schema_v1|c_temp_0_v1|s0136|0,openai,openai_gpt_5_4_mini,p_direct_schema_v1,c_temp_0_v1,s0136,The stone fell into the pond.,VERTICALITY,SOURCE_PATH_GOAL,literal,A stone moved downward and ended up inside the pond.,"Movement follows a path from outside to inside the pond, with downward motion implied by fell."
openai_gpt_5_4_mini|p_direct_schema_v1|c_temp_0_v1|s0138|0,openai,openai_gpt_5_4_mini,p_direct_schema_v1,c_temp_0_v1,s0138,The ladder leaned against the wall.,VERTICALITY,SUPPORT_BALANCE,literal,The ladder is physically resting at an angle against the wall.,"The ladder’s stability depends on support from the wall, with an upright leaning orientation."
openai_gpt_5_4_mini|p_direct_schema_v1|c_temp_0_v1|s0141|0,openai,openai_gpt_5_4_mini,p_direct_schema_v1,c_temp_0_v1,s0141,The apple fell from the branch.,VERTICALITY,SOURCE_PATH_GOAL,literal,An apple moved downward away from the branch.,"The sentence profiles motion from a source location along a path, with downward movement implied."
openai_gpt_5_4_mini|p_direct_schema_v1|c_temp_0_v1|s0143|0,openai,openai_gpt_5_4_mini,p_direct_schema_v1,c_temp_0_v1,s0143,The cup slid down the slope.,VERTICALITY,SOURCE_PATH_GOAL,literal,The cup moved downward along the slope.,A moving object follows a path downward; gravity and incline imply motion.
openai_gpt_5_4_mini|p_direct_schema_v1|c_temp_0_v1|s0144|0,openai,openai_gpt_5_4_mini,p_direct_schema_v1,c_temp_0_v1,s0144,The bird descended toward the field.,VERTICALITY,SOURCE_PATH_GOAL,literal,A bird moved downward in the direction of a field.,"Movement follows a path from a source toward a goal, with downward orientation implied."
openai_gpt_5_4_mini|p_direct_schema_v1|c_temp_0_v1|s0145|0,openai,openai_gpt_5_4_mini,p_direct_schema_v1,c_temp_0_v1,s0145,The climber reached the summit.,VERTICALITY,SOURCE_PATH_GOAL,literal,The climber arrived at the top of the mountain.,Movement along a path ends at a goal; 'summit' also implies upward vertical ascent.
openai_gpt_5_4_mini|p_direct_schema_v1|c_temp_03_v1|s0136|0,openai,openai_gpt_5_4_mini,p_direct_schema_v1,c_temp_03_v1,s0136,The stone fell into the pond.,VERTICALITY,SOURCE_PATH_GOAL,literal,A stone moved downward and ended up inside the pond.,Movement from one location to another with a goal location inside the pond is mapped by SOURCE_PATH_GOAL.
openai_gpt_5_4_mini|p_direct_schema_v1|c_temp_03_v1|s0136|1,openai,openai_gpt_5_4_mini,p_direct_schema_v1,c_temp_03_v1,s0136,The stone fell into the pond.,VERTICALITY,SOURCE_PATH_GOAL,literal,A stone moved downward and ended up in the pond.,"Movement is construed as a path from source to goal, with the pond as a container receiving the stone."
openai_gpt_5_4_mini|p_direct_schema_v1|c_temp_03_v1|s0138|0,openai,openai_gpt_5_4_mini,p_direct_schema_v1,c_temp_03_v1,s0138,The ladder leaned against the wall.,VERTICALITY,SUPPORT_BALANCE,literal,A ladder is physically resting at an angle against a wall.,"The ladder’s stability depends on support from the wall, with vertical orientation and opposing force implied."
openai_gpt_5_4_mini|p_direct_schema_v1|c_temp_03_v1|s0138|1,openai,openai_gpt_5_4_mini,p_direct_schema_v1,c_temp_03_v1,s0138,The ladder leaned against the wall.,VERTICALITY,SUPPORT_BALANCE,literal,The ladder is physically resting at an angle against the wall.,"The ladder is stabilized by the wall, with vertical orientation implied."
openai_gpt_5_4_mini|p_direct_schema_v1|c_temp_03_v1|s0139|0,openai,openai_gpt_5_4_mini,p_direct_schema_v1,c_temp_03_v1,s0139,The flag dropped to the ground.,VERTICALITY,SOURCE_PATH_GOAL,literal,The flag moved downward until it reached the ground.,A downward path from a higher position to a goal location is profiled.
openai_gpt_5_4_mini|p_direct_schema_v1|c_temp_03_v1|s0139|1,openai,openai_gpt_5_4_mini,p_direct_schema_v1,c_temp_03_v1,s0139,The flag dropped to the ground.,VERTICALITY,SOURCE_PATH_GOAL,literal,The flag moved downward until it reached the ground.,A path from a higher position to a goal location on the ground is implied.
openai_gpt_5_4_mini|p_direct_schema_v1|c_temp_03_v1|s0141|0,openai,openai_gpt_5_4_mini,p_direct_schema_v1,c_temp_03_v1,s0141,The apple fell from the branch.,VERTICALITY,SOURCE_PATH_GOAL,literal,An apple moved downward away from a branch.,"The sentence profiles motion from a source point along a path, with downward movement implied."
