provider,model_id,prompt_base,condition_id,sentence_id,sentence_type,expected_schema_primary,expected_literal_or_metaphorical,repetition_index,prompt_id_v1,schema_present_v1,literal_or_metaphorical_v1,main_image_schema_v1,schema_present_correct_v1,primary_schema_correct_v1,lm_correct_v1,control_correct_v1,control_false_positive_schema_v1,prompt_id_v2,schema_present_v2,literal_or_metaphorical_v2,main_image_schema_v2,schema_present_correct_v2,primary_schema_correct_v2,lm_correct_v2,control_correct_v2,control_false_positive_schema_v2,control_change_type
openai,openai_gpt_5_4_mini,direct_schema,c_temp_0_v1,s0098,control_weak_schema,NONE,control,0,p_direct_schema_v1,yes,literal,SOURCE_PATH_GOAL,False,False,False,False,True,p_direct_schema_v2_abstention,yes,literal,CONTAINER,False,False,False,False,True,control_false_positive_both
openai,openai_gpt_5_4_mini,direct_schema,c_temp_03_v1,s0098,control_weak_schema,NONE,control,0,p_direct_schema_v1,yes,literal,SOURCE_PATH_GOAL,False,False,False,False,True,p_direct_schema_v2_abstention,yes,literal,CONTAINER,False,False,False,False,True,control_false_positive_both
openai,openai_gpt_5_4_mini,direct_schema,c_temp_03_v1,s0098,control_weak_schema,NONE,control,1,p_direct_schema_v1,yes,literal,SOURCE_PATH_GOAL,False,False,False,False,True,p_direct_schema_v2_abstention,yes,literal,CONTAINER,False,False,False,False,True,control_false_positive_both
openai,openai_gpt_5_4_mini,direct_schema,c_temp_03_v1,s0167,control_weak_schema,NONE,control,1,p_direct_schema_v1,yes,literal,CONTAINER,False,False,False,False,True,p_direct_schema_v2_abstention,yes,literal,CONTAINER,False,False,False,False,True,control_false_positive_both
openai,openai_gpt_5_4_mini,structured_roles,c_temp_0_v1,s0098,control_weak_schema,NONE,control,0,p_structured_roles_v1,yes,literal,CONTAINER,False,False,False,False,True,p_structured_roles_v2_abstention,yes,literal,CONTAINER,False,False,False,False,True,control_false_positive_both
openai,openai_gpt_5_4_mini,structured_roles,c_temp_03_v1,s0098,control_weak_schema,NONE,control,0,p_structured_roles_v1,yes,literal,CONTAINER,False,False,False,False,True,p_structured_roles_v2_abstention,yes,literal,CONTAINER,False,False,False,False,True,control_false_positive_both
openai,openai_gpt_5_4_mini,structured_roles,c_temp_03_v1,s0098,control_weak_schema,NONE,control,1,p_structured_roles_v1,yes,literal,CONTAINER,False,False,False,False,True,p_structured_roles_v2_abstention,yes,literal,CONTAINER,False,False,False,False,True,control_false_positive_both
anthropic,claude_sonnet_4_6,direct_schema,c_temp_0_v1,s0025,control_weak_schema,NONE,control,0,p_direct_schema_v1,yes,metaphorical,CONTAINER,False,False,False,False,True,p_direct_schema_v2_abstention,uncertain,uncertain,CONTAINER,False,False,False,False,True,control_false_positive_both
anthropic,claude_sonnet_4_6,direct_schema,c_temp_0_v1,s0027,control_weak_schema,NONE,control,0,p_direct_schema_v1,yes,literal,SOURCE_PATH_GOAL,False,False,False,False,True,p_direct_schema_v2_abstention,yes,literal,SOURCE_PATH_GOAL,False,False,False,False,True,control_false_positive_both
anthropic,claude_sonnet_4_6,direct_schema,c_temp_0_v1,s0032,control_weak_schema,NONE,control,0,p_direct_schema_v1,yes,literal,FORCE,False,False,False,False,True,p_direct_schema_v2_abstention,yes,literal,FORCE,False,False,False,False,True,control_false_positive_both
anthropic,claude_sonnet_4_6,direct_schema,c_temp_0_v1,s0065,control_weak_schema,NONE,control,0,p_direct_schema_v1,yes,literal,VERTICALITY,False,False,False,False,True,p_direct_schema_v2_abstention,uncertain,uncertain,VERTICALITY,False,False,False,False,True,control_false_positive_both
anthropic,claude_sonnet_4_6,direct_schema,c_temp_0_v1,s0091,control_weak_schema,NONE,control,0,p_direct_schema_v1,yes,metaphorical,CONTAINER,False,False,False,False,True,p_direct_schema_v2_abstention,uncertain,uncertain,CONTAINER,False,False,False,False,True,control_false_positive_both
anthropic,claude_sonnet_4_6,direct_schema,c_temp_0_v1,s0098,control_weak_schema,NONE,control,0,p_direct_schema_v1,yes,literal,SOURCE_PATH_GOAL,False,False,False,False,True,p_direct_schema_v2_abstention,yes,literal,SOURCE_PATH_GOAL,False,False,False,False,True,control_false_positive_both
anthropic,claude_sonnet_4_6,direct_schema,c_temp_0_v1,s0129,control_weak_schema,NONE,control,0,p_direct_schema_v1,yes,literal,CONTAINER,False,False,False,False,True,p_direct_schema_v2_abstention,yes,literal,CONTAINER,False,False,False,False,True,control_false_positive_both
anthropic,claude_sonnet_4_6,direct_schema,c_temp_0_v1,s0130,control_weak_schema,NONE,control,0,p_direct_schema_v1,yes,literal,CONTAINER,False,False,False,False,True,p_direct_schema_v2_abstention,uncertain,uncertain,CONTAINER,False,False,False,False,True,control_false_positive_both
anthropic,claude_sonnet_4_6,direct_schema,c_temp_0_v1,s0134,control_weak_schema,NONE,control,0,p_direct_schema_v1,yes,metaphorical,CONTAINER,False,False,False,False,True,p_direct_schema_v2_abstention,uncertain,uncertain,CONTAINER,False,False,False,False,True,control_false_positive_both
anthropic,claude_sonnet_4_6,direct_schema,c_temp_0_v1,s0158,control_weak_schema,NONE,control,0,p_direct_schema_v1,yes,metaphorical,BLOCKAGE,False,False,False,False,True,p_direct_schema_v2_abstention,yes,metaphorical,BLOCKAGE,False,False,False,False,True,control_false_positive_both
anthropic,claude_sonnet_4_6,direct_schema,c_temp_0_v1,s0161,control_weak_schema,NONE,control,0,p_direct_schema_v1,yes,literal,FORCE,False,False,False,False,True,p_direct_schema_v2_abstention,yes,literal,FORCE,False,False,False,False,True,control_false_positive_both
anthropic,claude_sonnet_4_6,direct_schema,c_temp_0_v1,s0165,control_weak_schema,NONE,control,0,p_direct_schema_v1,yes,literal,CONTAINER,False,False,False,False,True,p_direct_schema_v2_abstention,uncertain,uncertain,CONTAINER,False,False,False,False,True,control_false_positive_both
anthropic,claude_sonnet_4_6,direct_schema,c_temp_0_v1,s0167,control_weak_schema,NONE,control,0,p_direct_schema_v1,yes,literal,CONTAINER,False,False,False,False,True,p_direct_schema_v2_abstention,yes,literal,CONTAINER,False,False,False,False,True,control_false_positive_both
anthropic,claude_sonnet_4_6,direct_schema,c_temp_0_v1,s0197,control_weak_schema,NONE,control,0,p_direct_schema_v1,yes,literal,SOURCE_PATH_GOAL,False,False,False,False,True,p_direct_schema_v2_abstention,yes,literal,CONTAINER,False,False,False,False,True,control_false_positive_both
anthropic,claude_sonnet_4_6,direct_schema,c_temp_0_v1,s0199,control_weak_schema,NONE,control,0,p_direct_schema_v1,yes,metaphorical,CONTAINER,False,False,False,False,True,p_direct_schema_v2_abstention,uncertain,uncertain,CONTAINER,False,False,False,False,True,control_false_positive_both
anthropic,claude_sonnet_4_6,direct_schema,c_temp_03_v1,s0025,control_weak_schema,NONE,control,0,p_direct_schema_v1,yes,metaphorical,CONTAINER,False,False,False,False,True,p_direct_schema_v2_abstention,uncertain,uncertain,CONTAINER,False,False,False,False,True,control_false_positive_both
anthropic,claude_sonnet_4_6,direct_schema,c_temp_03_v1,s0025,control_weak_schema,NONE,control,1,p_direct_schema_v1,yes,metaphorical,CONTAINER,False,False,False,False,True,p_direct_schema_v2_abstention,uncertain,uncertain,CONTAINER,False,False,False,False,True,control_false_positive_both
anthropic,claude_sonnet_4_6,direct_schema,c_temp_03_v1,s0027,control_weak_schema,NONE,control,0,p_direct_schema_v1,yes,literal,SOURCE_PATH_GOAL,False,False,False,False,True,p_direct_schema_v2_abstention,yes,literal,SOURCE_PATH_GOAL,False,False,False,False,True,control_false_positive_both
anthropic,claude_sonnet_4_6,direct_schema,c_temp_03_v1,s0027,control_weak_schema,NONE,control,1,p_direct_schema_v1,yes,literal,SOURCE_PATH_GOAL,False,False,False,False,True,p_direct_schema_v2_abstention,yes,literal,SOURCE_PATH_GOAL,False,False,False,False,True,control_false_positive_both
anthropic,claude_sonnet_4_6,direct_schema,c_temp_03_v1,s0032,control_weak_schema,NONE,control,0,p_direct_schema_v1,yes,literal,FORCE,False,False,False,False,True,p_direct_schema_v2_abstention,yes,literal,FORCE,False,False,False,False,True,control_false_positive_both
anthropic,claude_sonnet_4_6,direct_schema,c_temp_03_v1,s0032,control_weak_schema,NONE,control,1,p_direct_schema_v1,yes,literal,FORCE,False,False,False,False,True,p_direct_schema_v2_abstention,yes,literal,FORCE,False,False,False,False,True,control_false_positive_both
anthropic,claude_sonnet_4_6,direct_schema,c_temp_03_v1,s0065,control_weak_schema,NONE,control,0,p_direct_schema_v1,yes,literal,VERTICALITY,False,False,False,False,True,p_direct_schema_v2_abstention,uncertain,uncertain,VERTICALITY,False,False,False,False,True,control_false_positive_both
anthropic,claude_sonnet_4_6,direct_schema,c_temp_03_v1,s0065,control_weak_schema,NONE,control,1,p_direct_schema_v1,yes,literal,VERTICALITY,False,False,False,False,True,p_direct_schema_v2_abstention,uncertain,uncertain,VERTICALITY,False,False,False,False,True,control_false_positive_both
anthropic,claude_sonnet_4_6,direct_schema,c_temp_03_v1,s0066,control_weak_schema,NONE,control,0,p_direct_schema_v1,yes,literal,FORCE,False,False,False,False,True,p_direct_schema_v2_abstention,uncertain,uncertain,FORCE,False,False,False,False,True,control_false_positive_both
anthropic,claude_sonnet_4_6,direct_schema,c_temp_03_v1,s0066,control_weak_schema,NONE,control,1,p_direct_schema_v1,yes,literal,FORCE,False,False,False,False,True,p_direct_schema_v2_abstention,yes,literal,FORCE,False,False,False,False,True,control_false_positive_both
anthropic,claude_sonnet_4_6,direct_schema,c_temp_03_v1,s0091,control_weak_schema,NONE,control,0,p_direct_schema_v1,yes,metaphorical,CONTAINER,False,False,False,False,True,p_direct_schema_v2_abstention,uncertain,uncertain,CONTAINER,False,False,False,False,True,control_false_positive_both
anthropic,claude_sonnet_4_6,direct_schema,c_temp_03_v1,s0091,control_weak_schema,NONE,control,1,p_direct_schema_v1,yes,metaphorical,CONTAINER,False,False,False,False,True,p_direct_schema_v2_abstention,uncertain,uncertain,CONTAINER,False,False,False,False,True,control_false_positive_both
anthropic,claude_sonnet_4_6,direct_schema,c_temp_03_v1,s0098,control_weak_schema,NONE,control,0,p_direct_schema_v1,yes,literal,SOURCE_PATH_GOAL,False,False,False,False,True,p_direct_schema_v2_abstention,yes,literal,SOURCE_PATH_GOAL,False,False,False,False,True,control_false_positive_both
anthropic,claude_sonnet_4_6,direct_schema,c_temp_03_v1,s0098,control_weak_schema,NONE,control,1,p_direct_schema_v1,yes,literal,SOURCE_PATH_GOAL,False,False,False,False,True,p_direct_schema_v2_abstention,yes,literal,SOURCE_PATH_GOAL,False,False,False,False,True,control_false_positive_both
anthropic,claude_sonnet_4_6,direct_schema,c_temp_03_v1,s0129,control_weak_schema,NONE,control,0,p_direct_schema_v1,yes,literal,CONTAINER,False,False,False,False,True,p_direct_schema_v2_abstention,yes,literal,CONTAINER,False,False,False,False,True,control_false_positive_both
anthropic,claude_sonnet_4_6,direct_schema,c_temp_03_v1,s0129,control_weak_schema,NONE,control,1,p_direct_schema_v1,yes,literal,CONTAINER,False,False,False,False,True,p_direct_schema_v2_abstention,yes,literal,CONTAINER,False,False,False,False,True,control_false_positive_both
anthropic,claude_sonnet_4_6,direct_schema,c_temp_03_v1,s0130,control_weak_schema,NONE,control,0,p_direct_schema_v1,yes,literal,CONTAINER,False,False,False,False,True,p_direct_schema_v2_abstention,uncertain,uncertain,CONTAINER,False,False,False,False,True,control_false_positive_both
anthropic,claude_sonnet_4_6,direct_schema,c_temp_03_v1,s0130,control_weak_schema,NONE,control,1,p_direct_schema_v1,yes,literal,SOURCE_PATH_GOAL,False,False,False,False,True,p_direct_schema_v2_abstention,uncertain,uncertain,CONTAINER,False,False,False,False,True,control_false_positive_both
anthropic,claude_sonnet_4_6,direct_schema,c_temp_03_v1,s0134,control_weak_schema,NONE,control,0,p_direct_schema_v1,yes,metaphorical,CONTAINER,False,False,False,False,True,p_direct_schema_v2_abstention,uncertain,uncertain,CONTAINER,False,False,False,False,True,control_false_positive_both
anthropic,claude_sonnet_4_6,direct_schema,c_temp_03_v1,s0134,control_weak_schema,NONE,control,1,p_direct_schema_v1,yes,metaphorical,CONTAINER,False,False,False,False,True,p_direct_schema_v2_abstention,uncertain,uncertain,CONTAINER,False,False,False,False,True,control_false_positive_both
anthropic,claude_sonnet_4_6,direct_schema,c_temp_03_v1,s0158,control_weak_schema,NONE,control,0,p_direct_schema_v1,yes,metaphorical,BLOCKAGE,False,False,False,False,True,p_direct_schema_v2_abstention,yes,metaphorical,BLOCKAGE,False,False,False,False,True,control_false_positive_both
