run_key,provider,model_id,prompt_id,condition_id,sentence_id,main_image_schema,literal_or_metaphorical,schema_present,interpretation,schema_explanation,raw_response
claude_sonnet_4_6|p_direct_schema_v2_abstention|c_temp_0_v1|s0025|0,anthropic,claude_sonnet_4_6,p_direct_schema_v2_abstention,c_temp_0_v1,s0025,CONTAINER,uncertain,uncertain,The phrase 'for an hour' construes a unit of time as a bounded container within which the activity of practising is enclosed. The practice session is conceptualised as taking place inside a delimited temporal region.,"The preposition 'for' combined with a time duration ('an hour') invokes a CONTAINER schema metaphorically applied to time: the hour is treated as a bounded region that holds the activity. This is a common and well-documented metaphorical use of temporal containment (TIME AS CONTAINER). However, the schema is relatively weak here because the sentence is otherwise a plain activity report with no strong spatial or force-dynamic structure. The containment reading is plausible but not strongly foregrounded, hence the 'uncertain' confidence.","```json
{
  ""schema_present"": ""uncertain"",
  ""literal_or_metaphorical"": ""uncertain"",
  ""main_image_schema"": ""CONTAINER"",
  ""secondary_image_schemas"": [],
  ""source_domain"": [""bounded temporal region"", ""containment""],
  ""target_domain"": [""duration of activity""],
  ""interpretation"": ""The phrase 'for an hour' construes a unit of time as a bounded container within which the activity of practising is enclosed. The practice session is conceptualised as taking place inside a delimited temporal region."",
  ""schema_explanation"": ""The preposition 'for' combined with a time duration ('an hour') invokes a CONTAINER schema metaphorically applied to time: the hour is treated as a bounded region that holds the activity. This is a common and well-documented metaphorical use of temporal containment (TIME AS CONTAINER). However, the schema is relatively weak here because the sentence is otherwise a plain activity report with no strong spatial or force-dynamic structure. The containment reading is plausible but not strongly foregrounded, hence the 'uncertain' confidence."",
  ""confidence"": ""low""
}
```"
claude_sonnet_4_6|p_direct_schema_v2_abstention|c_temp_03_v1|s0025|0,anthropic,claude_sonnet_4_6,p_direct_schema_v2_abstention,c_temp_03_v1,s0025,CONTAINER,uncertain,uncertain,"The phrase 'for an hour' construes a unit of time as a bounded container within which the activity of practising is enclosed. This reflects the common conceptual metaphor TIME AS A CONTAINER, where durations are treated as bounded regions that activities can occur 'inside'. However, this is a very conventional, grammaticalised construction, and the image-schema signal is weak.","The preposition 'for' combined with a time duration ('an hour') can invoke a CONTAINER schema metaphorically: the hour is a bounded region and the practising takes place within it. This is a recognised instance of TIME AS CONTAINER. However, the construction is highly grammaticalised and the spatial-containment structure is not strongly foregrounded, making confidence moderate-to-low. No SOURCE_PATH_GOAL, FORCE, BLOCKAGE, VERTICALITY, or SUPPORT_BALANCE structures are clearly present.","```json
{
  ""schema_present"": ""uncertain"",
  ""literal_or_metaphorical"": ""uncertain"",
  ""main_image_schema"": ""CONTAINER"",
  ""secondary_image_schemas"": [],
  ""source_domain"": [""bounded temporal region"", ""containment""],
  ""target_domain"": [""duration of activity"", ""time as a container""],
  ""interpretation"": ""The phrase 'for an hour' construes a unit of time as a bounded container within which the activity of practising is enclosed. This reflects the common conceptual metaphor TIME AS A CONTAINER, where durations are treated as bounded regions that activities can occur 'inside'. However, this is a very conventional, grammaticalised construction, and the image-schema signal is weak."",
  ""schema_explanation"": ""The preposition 'for' combined with a time duration ('an hour') can invoke a CONTAINER schema metaphorically: the hour is a bounded region and the practising takes place within it. This is a recognised instance of TIME AS CONTAINER. However, the construction is highly grammaticalised and the spatial-containment structure is not strongly foregrounded, making confidence moderate-to-low. No SOURCE_PATH_GOAL, FORCE, BLOCKAGE, VERTICALITY, or SUPPORT_BALANCE structures are clearly present."",
  ""confidence"": ""low""
}
```"
claude_sonnet_4_6|p_direct_schema_v2_abstention|c_temp_03_v1|s0025|1,anthropic,claude_sonnet_4_6,p_direct_schema_v2_abstention,c_temp_03_v1,s0025,CONTAINER,uncertain,uncertain,The phrase 'for an hour' construes a unit of time as a bounded container within which the activity of practising is enclosed. The practice session is conceptualised as taking place inside a delimited temporal region.,"The preposition 'for' combined with a time duration ('an hour') can invoke a CONTAINER schema metaphorically, treating time as a bounded region that holds the activity. However, this is a highly grammaticalised, conventional construction and the spatial-containment structure is weak and arguably bleached. The core event — a musician practising — carries no strong image-schema structure on its own. The CONTAINER reading is plausible but not robust, hence the 'uncertain' rating.","```json
{
  ""schema_present"": ""uncertain"",
  ""literal_or_metaphorical"": ""uncertain"",
  ""main_image_schema"": ""CONTAINER"",
  ""secondary_image_schemas"": [],
  ""source_domain"": [""bounded temporal region"", ""containment""],
  ""target_domain"": [""duration of activity""],
  ""interpretation"": ""The phrase 'for an hour' construes a unit of time as a bounded container within which the activity of practising is enclosed. The practice session is conceptualised as taking place inside a delimited temporal region."",
  ""schema_explanation"": ""The preposition 'for' combined with a time duration ('an hour') can invoke a CONTAINER schema metaphorically, treating time as a bounded region that holds the activity. However, this is a highly grammaticalised, conventional construction and the spatial-containment structure is weak and arguably bleached. The core event — a musician practising — carries no strong image-schema structure on its own. The CONTAINER reading is plausible but not robust, hence the 'uncertain' rating."",
  ""confidence"": ""low""
}
```"
claude_sonnet_4_6|p_structured_roles_v2_abstention|c_temp_0_v1|s0025|0,anthropic,claude_sonnet_4_6,p_structured_roles_v2_abstention,c_temp_0_v1,s0025,CONTAINER,metaphorical,yes,"The phrase 'for an hour' construes time as a bounded container within which the activity of practising is enclosed. There is also a mild SOURCE_PATH_GOAL structure in that the hour is traversed from start to finish, but the dominant schema is CONTAINER: the hour functions as a delimited region that holds the activity.","English conventionally conceptualises durations as containers ('for an hour', 'within an hour', 'inside an hour'). The preposition 'for' marks the activity as situated inside a bounded temporal region. This is a well-established metaphorical mapping from spatial containment onto time, not merely an abstract factual report.","```json
{
  ""schema_present"": ""yes"",
  ""literal_or_metaphorical"": ""metaphorical"",
  ""main_image_schema"": ""CONTAINER"",
  ""secondary_image_schemas"": [""SOURCE_PATH_GOAL""],
  ""trajector"": ""the musician (practising activity)"",
  ""landmark_or_container"": ""an hour (bounded temporal region)"",
  ""source"": """",
  ""path"": ""duration of practice within the hour"",
  ""goal"": ""completion of the hour"",
  ""obstacle"": """",
  ""force"": """",
  ""source_domain"": [""bounded spatial region"", ""traversable path""],
  ""target_domain"": [""time"", ""duration"", ""activity span""],
  ""interpretation"": ""The phrase 'for an hour' construes time as a bounded container within which the activity of practising is enclosed. There is also a mild SOURCE_PATH_GOAL structure in that the hour is traversed from start to finish, but the dominant schema is CONTAINER: the hour functions as a delimited region that holds the activity."",
  ""schema_explanation"": ""English conventionally conceptualises durations as containers ('for an hour', 'within an hour', 'inside an hour'). The preposition 'for' marks the activity as situated inside a bounded temporal region. This is a well-established metaphorical mapping from spatial containment onto time, not merely an abstract factual report."",
  ""confidence"": ""medium""
}
```"
claude_sonnet_4_6|p_structured_roles_v2_abstention|c_temp_03_v1|s0025|0,anthropic,claude_sonnet_4_6,p_structured_roles_v2_abstention,c_temp_03_v1,s0025,CONTAINER,metaphorical,yes,"The phrase 'for an hour' construes time as a bounded container within which the activity of practising is enclosed. Secondarily, the hour can be understood as a path traversed from start to finish, reflecting the SOURCE_PATH_GOAL schema applied to temporal duration.","English conventionally maps time onto space: a period of time ('an hour') is conceptualised as a bounded region (CONTAINER) that holds an activity, and/or as a span to be traversed (SOURCE_PATH_GOAL). 'For an hour' is a standard instance of the TIME IS A CONTAINER/PATH metaphor. The primary schema is CONTAINER because the preposition 'for' marks the activity as enclosed within a temporal boundary.","```json
{
  ""schema_present"": ""yes"",
  ""literal_or_metaphorical"": ""metaphorical"",
  ""main_image_schema"": ""CONTAINER"",
  ""secondary_image_schemas"": [""SOURCE_PATH_GOAL""],
  ""trajector"": ""the musician (practising activity)"",
  ""landmark_or_container"": ""an hour (bounded temporal region)"",
  ""source"": """",
  ""path"": ""duration of practice"",
  ""goal"": ""end of the hour"",
  ""obstacle"": """",
  ""force"": """",
  ""source_domain"": [""bounded spatial region"", ""traversable path""],
  ""target_domain"": [""time"", ""duration"", ""activity span""],
  ""interpretation"": ""The phrase 'for an hour' construes time as a bounded container within which the activity of practising is enclosed. Secondarily, the hour can be understood as a path traversed from start to finish, reflecting the SOURCE_PATH_GOAL schema applied to temporal duration."",
  ""schema_explanation"": ""English conventionally maps time onto space: a period of time ('an hour') is conceptualised as a bounded region (CONTAINER) that holds an activity, and/or as a span to be traversed (SOURCE_PATH_GOAL). 'For an hour' is a standard instance of the TIME IS A CONTAINER/PATH metaphor. The primary schema is CONTAINER because the preposition 'for' marks the activity as enclosed within a temporal boundary."",
  ""confidence"": ""medium""
}
```"
claude_sonnet_4_6|p_structured_roles_v2_abstention|c_temp_03_v1|s0025|1,anthropic,claude_sonnet_4_6,p_structured_roles_v2_abstention,c_temp_03_v1,s0025,CONTAINER,metaphorical,yes,"The phrase 'for an hour' construes time as a bounded region (CONTAINER) within which the activity of practising is enclosed, and simultaneously as a span traversed from start to finish (SOURCE_PATH_GOAL). These are conventional metaphorical schemas for time in English.",TIME AS CONTAINER: 'an hour' functions as a bounded region that contains the activity. TIME AS PATH: the hour is also understood as a span with a beginning and an end through which the musician moves. Both schemas are metaphorical because time is an abstract domain being structured by spatial/bounded-region logic.,"```json
{
  ""schema_present"": ""yes"",
  ""literal_or_metaphorical"": ""metaphorical"",
  ""main_image_schema"": ""CONTAINER"",
  ""secondary_image_schemas"": [""SOURCE_PATH_GOAL""],
  ""trajector"": ""the musician (practising activity)"",
  ""landmark_or_container"": ""an hour"",
  ""source"": """",
  ""path"": ""duration of practice"",
  ""goal"": ""end of the hour"",
  ""obstacle"": """",
  ""force"": """",
  ""source_domain"": [""bounded temporal region"", ""traversal of a time span""],
  ""target_domain"": [""duration"", ""time as a container or path""],
  ""interpretation"": ""The phrase 'for an hour' construes time as a bounded region (CONTAINER) within which the activity of practising is enclosed, and simultaneously as a span traversed from start to finish (SOURCE_PATH_GOAL). These are conventional metaphorical schemas for time in English."",
  ""schema_explanation"": ""TIME AS CONTAINER: 'an hour' functions as a bounded region that contains the activity. TIME AS PATH: the hour is also understood as a span with a beginning and an end through which the musician moves. Both schemas are metaphorical because time is an abstract domain being structured by spatial/bounded-region logic."",
  ""confidence"": ""medium""
}
```"
gemini_2_5_flash|p_direct_schema_v2_abstention|c_temp_0_v1|s0025|0,google,gemini_2_5_flash,p_direct_schema_v2_abstention,c_temp_0_v1,s0025,SOURCE_PATH_GOAL,metaphorical,yes,"The musician performed the activity of practicing, and this activity extended over a duration of one hour.","The phrase 'for an hour' conceptualizes time as a span or path that is traversed or progressed through by the activity of practicing. The activity starts at the beginning of the hour and continues until the end, covering the entire temporal span, which aligns with the 'progress through a span' aspect of SOURCE_PATH_GOAL.","{
  ""schema_present"": ""yes"",
  ""literal_or_metaphorical"": ""metaphorical"",
  ""main_image_schema"": ""SOURCE_PATH_GOAL"",
  ""secondary_image_schemas"": [],
  ""source_domain"": [
    ""PHYSICAL MOVEMENT""
  ],
  ""target_domain"": [
    ""TIME""
  ],
  ""interpretation"": ""The musician performed the activity of practicing, and this activity extended over a duration of one hour."",
  ""schema_explanation"": ""The phrase 'for an hour' conceptualizes time as a span or path that is traversed or progressed through by the activity of practicing. The activity starts at the beginning of the hour and continues until the end, covering the entire temporal span, which aligns with the 'progress through a span' aspect of SOURCE_PATH_GOAL."",
  ""confidence"": ""high""
}"
gemini_2_5_flash|p_direct_schema_v2_abstention|c_temp_03_v1|s0025|0,google,gemini_2_5_flash,p_direct_schema_v2_abstention,c_temp_03_v1,s0025,SOURCE_PATH_GOAL,metaphorical,yes,"The musician engaged in the activity of practicing, and this activity spanned a continuous period of one hour.","The phrase ""for an hour"" metaphorically maps the abstract concept of temporal duration to a spatial path or extent. The act of practicing is conceptualized as traversing this temporal path from its beginning to its end.","{
  ""schema_present"": ""yes"",
  ""literal_or_metaphorical"": ""metaphorical"",
  ""main_image_schema"": ""SOURCE_PATH_GOAL"",
  ""secondary_image_schemas"": [],
  ""source_domain"": [
    ""Physical movement"",
    ""Spatial extent""
  ],
  ""target_domain"": [
    ""Time"",
    ""Duration""
  ],
  ""interpretation"": ""The musician engaged in the activity of practicing, and this activity spanned a continuous period of one hour."",
  ""schema_explanation"": ""The phrase \""for an hour\"" metaphorically maps the abstract concept of temporal duration to a spatial path or extent. The act of practicing is conceptualized as traversing this temporal path from its beginning to its end."",
  ""confidence"": ""high""
}"
gemini_2_5_flash|p_direct_schema_v2_abstention|c_temp_03_v1|s0025|1,google,gemini_2_5_flash,p_direct_schema_v2_abstention,c_temp_03_v1,s0025,SOURCE_PATH_GOAL,metaphorical,yes,"The musician engaged in the activity of practicing, and this activity spanned a duration equivalent to one hour.","The phrase 'for an hour' metaphorically maps the abstract concept of duration (time) onto a spatial path or extent. The activity of practicing is conceptualized as traversing or occupying this temporal path, from a starting point to an endpoint, covering a specific 'distance' in time.","{
  ""schema_present"": ""yes"",
  ""literal_or_metaphorical"": ""metaphorical"",
  ""main_image_schema"": ""SOURCE_PATH_GOAL"",
  ""secondary_image_schemas"": [],
  ""source_domain"": [
    ""SPACE"",
    ""MOVEMENT""
  ],
  ""target_domain"": [
    ""TIME"",
    ""DURATION""
  ],
  ""interpretation"": ""The musician engaged in the activity of practicing, and this activity spanned a duration equivalent to one hour."",
  ""schema_explanation"": ""The phrase 'for an hour' metaphorically maps the abstract concept of duration (time) onto a spatial path or extent. The activity of practicing is conceptualized as traversing or occupying this temporal path, from a starting point to an endpoint, covering a specific 'distance' in time."",
  ""confidence"": ""high""
}"
gemini_2_5_flash|p_structured_roles_v2_abstention|c_temp_0_v1|s0025|0,google,gemini_2_5_flash,p_structured_roles_v2_abstention,c_temp_0_v1,s0025,SOURCE_PATH_GOAL,metaphorical,yes,"The musician's act of practicing is conceptualized as a movement or progression through a segment of time, specifically a duration of one hour.","The phrase 'for an hour' maps the abstract concept of time onto a spatial path. The activity of 'practising' is the 'movement' or 'traversal' along this temporal path. The beginning of the hour is the implicit source, the hour itself is the path, and the end of the hour is the implicit goal.","{
  ""schema_present"": ""yes"",
  ""literal_or_metaphorical"": ""metaphorical"",
  ""main_image_schema"": ""SOURCE_PATH_GOAL"",
  ""secondary_image_schemas"": [],
  ""source_domain"": [
    ""physical movement""
  ],
  ""target_domain"": [
    ""time"",
    ""duration of activity""
  ],
  ""interpretation"": ""The musician's act of practicing is conceptualized as a movement or progression through a segment of time, specifically a duration of one hour."",
  ""schema_explanation"": ""The phrase 'for an hour' maps the abstract concept of time onto a spatial path. The activity of 'practising' is the 'movement' or 'traversal' along this temporal path. The beginning of the hour is the implicit source, the hour itself is the path, and the end of the hour is the implicit goal."",
  ""confidence"": ""high"",
  ""trajector"": ""the musician (performing the action)"",
  ""landmark_or_container"": """",
  ""source"": ""(implicit) beginning of the practice"",
  ""path"": ""an hour (duration)"",
  ""goal"": ""(implicit) end of the practice"",
  ""obstacle"": """",
  ""force"": """"
}"
