sentence_id,n,false_positive_n,false_positive_rate,predicted_schemas,providers,prompts,sentence_text
s0098,36,36,1.0,CONTAINER; SOURCE_PATH_GOAL,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The driver parked near the school.
s0167,36,30,0.8333333333333334,CONTAINER; FORCE; NONE,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The student opened the notebook.
s0129,36,27,0.75,CONTAINER; NONE,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The parent packed the lunch.
s0161,36,27,0.75,FORCE; NONE,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The gardener trimmed the hedge.
s0197,36,26,0.7222222222222222,CONTAINER; NONE; SOURCE_PATH_GOAL,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The child drew a circle.
s0027,36,24,0.6666666666666666,CONTAINER; FORCE; NONE; SOURCE_PATH_GOAL,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The gardener watered the roses at dawn.
s0158,36,24,0.6666666666666666,BLOCKAGE; NONE,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The committee delayed the decision.
s0025,36,23,0.6388888888888888,CONTAINER; NONE; SOURCE_PATH_GOAL,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The musician practised for an hour.
s0125,36,23,0.6388888888888888,NONE; SOURCE_PATH_GOAL; VERTICALITY,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The singer warmed up quietly.
s0130,36,23,0.6388888888888888,CONTAINER; NONE; SOURCE_PATH_GOAL,anthropic; google; openai,p_direct_schema_v1; p_direct_schema_v2_abstention; p_structured_roles_v1; p_structured_roles_v2_abstention,The intern filed the documents.
